类别：所有类别

时间, 新冠肺炎, 结核病
2023-11-29T21:14:00+08:00,37,0
2023-11-29T21:15:00+08:00,26,18
2023-11-29T21:16:00+08:00,18,0
2023-11-29T21:17:00+08:00,31,26
2023-11-29T21:18:00+08:00,14,0
2023-11-29T21:19:00+08:00,19,0
2023-11-29T21:20:00+08:00,0,16
2023-11-29T21:21:00+08:00,0,0
2023-11-29T21:22:00+08:00,0,17
2023-11-29T21:23:00+08:00,0,0
2023-11-29T21:24:00+08:00,0,0
2023-11-29T21:25:00+08:00,0,0
2023-11-29T21:26:00+08:00,80,87
2023-11-29T21:27:00+08:00,29,0
2023-11-29T21:28:00+08:00,0,16
2023-11-29T21:29:00+08:00,21,0
2023-11-29T21:30:00+08:00,15,0
2023-11-29T21:31:00+08:00,32,19
2023-11-29T21:32:00+08:00,15,15
2023-11-29T21:33:00+08:00,22,0
2023-11-29T21:34:00+08:00,0,22
2023-11-29T21:35:00+08:00,22,21
2023-11-29T21:36:00+08:00,19,0
2023-11-29T21:37:00+08:00,0,0
2023-11-29T21:38:00+08:00,0,0
2023-11-29T21:39:00+08:00,95,0
2023-11-29T21:40:00+08:00,16,0
2023-11-29T21:41:00+08:00,0,0
2023-11-29T21:42:00+08:00,20,0
2023-11-29T21:43:00+08:00,17,0
2023-11-29T21:44:00+08:00,0,19
2023-11-29T21:45:00+08:00,100,0
2023-11-29T21:46:00+08:00,16,0
2023-11-29T21:47:00+08:00,35,0
2023-11-29T21:48:00+08:00,23,0
2023-11-29T21:49:00+08:00,0,15
2023-11-29T21:50:00+08:00,14,0
2023-11-29T21:51:00+08:00,0,36
2023-11-29T21:52:00+08:00,0,0
2023-11-29T21:53:00+08:00,27,0
2023-11-29T21:54:00+08:00,34,0
2023-11-29T21:55:00+08:00,22,17
2023-11-29T21:56:00+08:00,18,29
2023-11-29T21:57:00+08:00,29,0
2023-11-29T21:58:00+08:00,30,0
2023-11-29T21:59:00+08:00,0,0
2023-11-29T22:00:00+08:00,23,0
2023-11-29T22:01:00+08:00,14,0
2023-11-29T22:02:00+08:00,0,0
2023-11-29T22:03:00+08:00,0,16
2023-11-29T22:04:00+08:00,16,51
2023-11-29T22:05:00+08:00,0,0
2023-11-29T22:06:00+08:00,22,0
2023-11-29T22:07:00+08:00,0,0
2023-11-29T22:08:00+08:00,0,0
2023-11-29T22:09:00+08:00,19,0
2023-11-29T22:10:00+08:00,26,0
